ID1,HHID,HV000,HV001,HV002,HV002A,HV003,HV004,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV017,HV020,HV021,HV023,HV024,HV025,HV026,HV027,HV028,HV030,HV031,HV032,HV033,HV035,HV040,HV041,HV042,HV043,HV044,UBIGEO,HV022,HV005,CODCCPP,NOMCCPP,LATITUDY,LONGITUDX,NCONGLOME
2023,      001802401,PE6,18,24,1,0,18,2023,1479,0,0,0,0,0,0,6,3,0,18,1,1,1,2,0, ,0, ,0, ,0,444,0,1,0,1,010701,7,0,0001,BAGUA GRANDE,-5.759619488,-78.441479445,06694
2023,      001803301,PE6,18,33,1,1,18,2023,1479,6,2,0,6,6,1,1,1,0,18,1,1,1,2,0, ,0, ,0, ,1,444,2,1,0,1,010701,7,120767,0001,BAGUA GRANDE,-5.759619488,-78.441479445,06694
2023,      001805801,PE6,18,58,1,1,18,2023,1479,4,1,0,4,4,0,1,1,0,18,1,1,1,2,0, ,0, ,0, ,0,444,1,1,0,1,010701,7,868547,0001,BAGUA GRANDE,-5.759619488,-78.441479445,06694
2023,      001806401,PE6,18,64,1,1,18,2023,1479,3,1,0,3,3,1,1,1,0,18,1,1,1,2,0, ,0, ,0, ,1,444,2,1,0,1,010701,7,120767,0001,BAGUA GRANDE,-5.759619488,-78.441479445,06694
2023,      001806701,PE6,18,67,1,2,18,2023,1479,5,1,0,5,5,2,1,1,0,18,1,1,1,2,0, ,0, ,0, ,2,444,1,1,0,1,010701,7,120767,0001,BAGUA GRANDE,-5.759619488,-78.441479445,06694
2023,      001807001,PE6,18,70,1,2,18,2023,1479,7,2,0,7,7,1,1,1,0,18,1,1,1,2,0, ,0, ,0, ,1,444,2,1,0,1,010701,7,120767,0001,BAGUA GRANDE,-5.759619488,-78.441479445,06694
2023,      002100901,PE6,21,9,1,1,21,2023,1480,3,0,0,3,1,1,1,1,0,21,1,1,1,2,0, ,0, ,0, ,1,1462,1,1,0,1,010701,9,107410,0079,NUNYA JALCA,-5.89797758,-78.310909622,06721
2023,      002104601,PE6,21,46,1,1,21,2023,1480,1,0,0,1,1,0,1,1,0,21,1,1,1,2,0, ,0, ,0, ,0,1462,0,1,0,1,010701,9,772483,0079,NUNYA JALCA,-5.89797758,-78.310909622,06721
2023,      002105101,PE6,21,51,1,3,21,2023,1480,8,1,0,8,8,3,1,1,0,21,1,1,1,2,0, ,0, ,0, ,3,1462,2,1,0,1,010701,9,107410,0079,NUNYA JALCA,-5.89797758,-78.310909622,06721
2023,      002106701,PE6,21,67,1,0,21,2023,1480,0,0,0,0,0,0,9,3,0,21,1,1,1,2,0, ,0, ,0, ,0,1462,0,1,0,1,010701,9,0,0079,NUNYA JALCA,-5.89797758,-78.310909622,06721
2023,      002107501,PE6,21,75,1,2,21,2023,1480,5,1,0,5,5,1,1,1,0,21,1,1,1,2,0, ,0, ,0, ,1,1462,1,1,0,1,010701,9,107410,0079,NUNYA JALCA,-5.89797758,-78.310909622,06721
2023,      002108201,PE6,21,82,1,1,21,2023,1480,2,0,0,2,2,0,1,1,0,21,1,1,1,2,0, ,0, ,0, ,0,1462,0,1,0,1,010701,9,772483,0079,NUNYA JALCA,-5.89797758,-78.310909622,06721
2023,      002108801,PE6,21,88,1,2,21,2023,1480,4,1,0,4,4,1,1,1,0,21,1,1,1,2,0, ,0, ,0, ,1,1462,1,1,0,1,010701,9,107410,0079,NUNYA JALCA,-5.89797758,-78.310909622,06721
2023,      002111001,PE6,21,110,1,2,21,2023,1480,5,1,0,5,5,1,1,1,0,21,1,1,1,2,0, ,0, ,0, ,1,1462,1,1,0,1,010701,9,107410,0079,NUNYA JALCA,-5.89797758,-78.310909622,06721
