ID1,HHID,HV000,HV001,HV002,HV002A,HV003,HV004,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV017,HV020,HV021,HV023,HV024,HV025,HV026,HV027,HV028,HV030,HV031,HV032,HV033,HV035,HV040,HV041,HV042,HV043,HV044,UBIGEO,HV022,CODCCPP,NOMCCPP,NCONGLOME,HV005,longitudx,latitudy
2021,      000507301,PE6,5,73,1,1,5,2021,1458,1,0,0,1,1,0,1,1,0,5,1,1,1,1,0, ,0, ,0, ,0,2338,0,1,0,1,010101,2,0001,CHACHAPOYAS,07098,606562,-77.869230754,-6.234386829
2021,      000508001,PE6,5,80,1,2,5,2021,1458,2,1,0,2,2,0,1,1,0,5,1,1,1,1,0, ,0, ,0, ,0,2338,1,1,0,1,010101,2,0001,CHACHAPOYAS,07098,606562,-77.869230754,-6.234386829
2021,      000509201,PE6,5,92,1,1,5,2021,1458,7,1,0,7,7,1,1,1,0,5,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,2,0001,CHACHAPOYAS,07098,117533,-77.869230754,-6.234386829
2021,      000509701,PE6,5,97,1,2,5,2021,1458,4,1,0,4,4,1,1,1,0,5,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,2,0001,CHACHAPOYAS,07098,117533,-77.869230754,-6.234386829
2021,      000513201,PE6,5,132,1,3,5,2021,1458,4,1,0,4,4,0,1,1,0,5,1,1,1,1,0, ,0, ,0, ,0,2338,1,1,0,1,010101,2,0001,CHACHAPOYAS,07098,606562,-77.869230754,-6.234386829
2021,      000604001,PE6,6,40,1,2,6,2021,1456,4,0,0,4,4,0,1,1,0,6,1,1,1,1,0, ,0, ,0, ,0,2338,1,1,0,1,010101,2,0001,CHACHAPOYAS,07099,751663,-77.866991473,-6.235962549
2021,      000609301,PE6,6,93,1,1,6,2021,1456,1,0,0,1,0,0,1,1,0,6,1,1,1,1,0, ,0, ,0, ,0,2338,1,1,0,1,010101,2,0001,CHACHAPOYAS,07099,751663,-77.866991473,-6.235962549
2021,      000611001,PE6,6,110,1,1,6,2021,1456,4,1,0,4,4,1,1,2,0,6,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,2,0001,CHACHAPOYAS,07099,145650,-77.866991473,-6.235962549
2021,      000611601,PE6,6,116,1,1,6,2021,1456,2,1,0,2,2,1,1,1,0,6,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,2,0001,CHACHAPOYAS,07099,145650,-77.866991473,-6.235962549
2021,      000611701,PE6,6,117,1,1,6,2021,1456,1,0,0,1,1,0,1,1,0,6,1,1,1,1,0, ,0, ,0, ,0,2338,0,1,0,1,010101,2,0001,CHACHAPOYAS,07099,751663,-77.866991473,-6.235962549
2021,      000612201,PE6,6,122,1,1,6,2021,1456,4,1,0,4,4,1,1,1,0,6,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,2,0001,CHACHAPOYAS,07099,145650,-77.866991473,-6.235962549
